Date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1926,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,NaN,0.050886447,0.0307,-0.011173184,NaN,0.077695239,0.073744405,0.016486225,NaN,NaN,0.122004602,0.066031023
1927,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,NaN,0.07647361,0.0317,-0.02259887,0.265512354,0.089448628,0.074436369,0.009419065,NaN,NaN,0.358791645,0.294560247
1928,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,NaN,0.063068236,0.0426,-0.011560694,0.497429287,0.000827246,0.028411562,0.019799325,NaN,NaN,0.388440408,0.333130679
1929,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,NaN,0.163522459,0.0303,0.005847953,0.72059294,0.034099467,0.032730041,0.124614012,NaN,NaN,-0.088346978,-0.121345415
1930,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,NaN,0.113885963,0.0148,-0.063953488,0.307847488,0.046429195,0.079750525,0.066648919,NaN,NaN,-0.263028518,-0.295860555
1931,8.12,0.82,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,NaN,-0.012946596,0.0241,-0.093167702,0.144664698,-0.053157349,-0.01850982,0.15940274,NaN,NaN,-0.455253213,-0.489203534
1932,6.89,0.5,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,NaN,-0.005030024,0.0004,-0.102739726,0.037267081,0.168452113,0.108202241,0.307451656,NaN,NaN,-0.088907379,-0.148369395
1933,10.1,0.44,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,NaN,0.006196483,0.0029,0.007633588,0.401055409,-0.000693026,0.103760563,0.221816956,NaN,NaN,0.532511722,0.472273114
1934,9.5,0.45,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,NaN,0.020814021,0.0023,0.015151515,0.071283096,0.100149979,0.138434461,0.06659176,NaN,NaN,-0.024841879,-0.06188622
1935,13.43,0.47,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,NaN,0.008687875,0.0015,0.029850746,0.06619594,0.049960876,0.096148561,0.035506836,NaN,NaN,0.45633068,0.39969069
1936,17.18,0.72,1.02,0.458588105,0.0012,0.031,0.0453,0.0255,NaN,0.025225208,0.0012,0.014492754,0.120576671,0.074958063,0.067442837,0.031256437,NaN,NaN,0.334178354,0.279453312
1937,10.55,0.8,1.13,0.707488622,0.0011,0.0321,0.0573,0.0273,NaN,0.031774713,0.0011,0.028571429,0.312371558,0.002326474,0.027467315,0.099632593,0.002833122,NaN,-0.359935285,-0.394225009
